Beer PLU,Beer Name,Date Purchased,Store Name,Abv,Style,Color,Format
11874,FRENCH BROAD WEE HEAVY-ER,1/9/2014 0:00,Mall of Georgia,7,Strong Ale,medium,draft
11568,FT COLLINS CHOC STOUT,10/24/2009 0:00,Crabapple,5.3,Stout,dark,draft
61996,FT COLLINS HOPTITUDE,5/4/2013 0:00,Mall of Georgia,7.5,IPA,medium,draft
11569,FT COLLINS IPA,12/30/2010 0:00,Crabapple,6.2,IPA,medium,draft
60435,FT COLLINS RED BANSHEE,5/30/2011 0:00,Crabapple,5.2,Amber/Red Ale,medium,draft
61316,FT. COLLINS WHEAT WINE,12/16/2013 0:00,Mall of Georgia,9.3,Barley Wine,medium,draft
10331,Full Sail Amber,12/27/2012 0:00,Crabapple,5.5,Amber/Red Ale,medium,bottle
10327,Full Sail IPA,12/27/2012 0:00,Crabapple,6,IPA,medium,bottle
10332,Full Sail Pale Ale,8/6/2009 0:00,Crabapple,5.4,Pale Ale,medium,bottle
11230,FULLER'S LONDON PRIDE,12/23/2007 0:00,Crabapple,4.7,Pale Ale,medium,draft
9697,Fuller's London Pride,7/16/2013 0:00,Mall of Georgia,4.7,Pale Ale,medium,bottle
61626,GOOSE ISLAND 312 URBN WHT,12/13/2012 0:00,Crabapple,4.2,Wheat Beer,light,draft
61625,GOOSE ISLAND HONKER'S A,12/12/2012 0:00,Mall of Georgia,4.2,ESB,medium,draft
61627,GOOSE ISLAND IPA,12/11/2012 0:00,Crabapple,5.9,IPA,medium,draft
60618,GREAT DIVIDE 17 ANNY,5/28/2011 0:00,Prado,10,IPA,medium,draft
9923,Great Divide Denver Pale,12/22/2007 0:00,Crabapple,5.6,Pale Ale,medium,bottle
11377,GREAT DIVIDE HERCULES,12/3/2008 0:00,Crabapple,10,Double IPA,medium,draft
11551,GREAT DIVIDE HIBERNATIO,12/29/2010 0:00,Crabapple,8.1,Strong Ale,medium,draft
61045,GREAT DIVIDE NOMAD,2/11/2012 0:00,Crabapple,5.4,Pilsner,light,draft
60241,GREAT DIVIDE RUMBLE IPA,8/15/2013 0:00,Crabapple,7.1,IPA,medium,draft
11587,GREAT DIVIDE TITAN IPA,4/18/2014 0:00,Mall of Georgia,6.8,IPA,medium,draft
9924,Great Divide Titan IPA,12/17/2008 0:00,Crabapple,6.8,IPA,medium,bottle
61947,GREEN FLASH CITRA SESSN,7/2/2013 0:00,Mall of Georgia,4.5,IPA,medium,draft
62215,GREEN FLASH GREEN BULLE,10/10/2013 0:00,Mall of Georgia,10.1,Double IPA,medium,draft
60091,GREEN FLASH HOP HEAD RE,12/12/2012 0:00,Crabapple,6.4,Amber/Red Ale,medium,draft
62792,GREEN FLASH HOP ODYSY WHT,7/23/2014 0:00,Crabapple,7,IPA,medium,draft
61946,GREEN FLASH IMPRL RED RYE,7/2/2013 0:00,Mall of Georgia,8.5,Double IPA,medium,draft
60181,GREEN FLASH LE FREAK,7/10/2012 0:00,Crabapple,9.2,Belgian Specialty,medium,draft
61971,GREEN FLASH SYMPOSIUM IPA,9/5/2013 0:00,Mall of Georgia,7,IPA,medium,draft
60092,GREEN FLASH W COAST IPA,4/4/2013 0:00,Crabapple,7.3,IPA,medium,draft
9110,Grolsch Lager 16oz,7/25/2008 0:00,Crabapple,5,Lager,light,bottle
11055,HARPOON IPA,4/19/2013 0:00,Mall of Georgia,5.9,IPA,medium,draft
11056,HARPOON SUMMER,5/26/2011 0:00,Crabapple,4.8,Kolsch,light,draft
9450,Harpoon UFO Hefe Weiss,1/6/2009 0:00,Crabapple,5.1,Hefeweizen,light,bottle
60753,HARPOON UFO PUMPKIN,9/5/2013 0:00,Crabapple,5.9,Pumpkin Ale,medium,draft
60377,HEAVY SEAS BLACK CANNON,2/16/2012 0:00,Crabapple,7.3,IPA,medium,draft
60194,HEAVY SEAS GREATER PMPK,9/23/2013 0:00,Mall of Georgia,9,Pumpkin Ale,medium,draft
20769,Heavy Seas Loose Cann Can,7/21/2013 0:00,Crabapple,7.5,IPA,medium,can
11390,HEAVY SEAS LOOSE CANNON,7/12/2012 0:00,Crabapple,7.5,IPA,medium,draft
9980,Heavy Seas Loose Cannon,5/7/2013 0:00,Mall of Georgia,7.5,IPA,medium,bottle
61770,HEAVY SEAS POWDER MONKY,8/15/2013 0:00,Crabapple,4.8,Pale Ale,medium,draft
11495,HEAVY SEAS RED SKY,9/5/2013 0:00,Mall of Georgia,8,Saison,light,draft
9927,Heavy Seas Small Craft,5/4/2013 0:00,Mall of Georgia,7.5,Pilsner,light,bottle
11448,HEAVY SEAS SMALL CRAFTW,3/14/2015 0:00,Windward,7.5,Pilsner,light,draft
60929,HEBREW HOP MANNA,4/24/2014 0:00,Crabapple,6.8,IPA,medium,draft
9123,Heineken,12/14/2007 0:00,Crabapple,5,Lager,light,bottle
9962,Heineken Light,2/1/2008 0:00,Crabapple,3.3,Lager,light,bottle
11398,HIGHLAND COLD MOUNTAIN,12/23/2010 0:00,Crabapple,5.8,Fruit/Herbed/Spice Beer,medium,draft
11359,HIGHLAND GAELIC ALE,5/7/2013 0:00,Mall of Georgia,5.8,Amber/Red Ale,medium,draft
9889,Highland Gaelic Ale,9/19/2013 0:00,Mall of Georgia,5.8,Amber/Red Ale,medium,bottle
11423,HIGHLAND KASHMIR IPA,6/14/2013 0:00,Mall of Georgia,5.6,IPA,medium,draft
10023,Highland Kashmir IPA,9/5/2013 0:00,Mall of Georgia,5.6,IPA,medium,bottle
60549,HIGHLAND LITTLE HUMP,4/23/2013 0:00,Mall of Georgia,4.5,Pale Ale,medium,draft
64081,HIGHLAND LOST COVE,8/31/2015 0:00,Crabapple,4.5,Pale Ale,medium,draft
11337,HIGHLAND OATMEAL PORTER,1/14/2014 0:00,Crabapple,5.8,Porter,dark,draft
11449,HIGHLAND ST THERESE PAL,4/8/2013 0:00,Mall of Georgia,5.2,Pale Ale,medium,draft
9890,Highland St Therese Pale,4/16/2013 0:00,Mall of Georgia,5.2,Pale Ale,medium,bottle
11060,HOEGAARDEN,12/23/2007 0:00,Crabapple,4.9,Witbier/White Beer,light,draft
62265,HOFBRAU MUNCHEN OKTOBRF,10/3/2013 0:00,Mall of Georgia,6.3,Oktoberfest/Marzen,medium,draft
